,type-id,instance-id,timestamp,value
0,522558,214458,2007-10-01 00:00:00,307.1
1,522558,214458,2007-10-01 01:00:00,121.7
2,522558,214458,2007-10-01 02:00:00,253.6
3,522558,214458,2007-10-01 03:00:00,235.5
4,522558,214458,2007-10-01 04:00:00,287.9
5,522558,214458,2007-10-01 05:00:00,270.7
6,522558,214458,2007-10-01 06:00:00,337.3
19,522558,214458,2007-10-01 19:00:00,277.5
20,522558,214458,2007-10-01 20:00:00,174.5
21,522558,214458,2007-10-01 21:00:00,252.7
22,522558,214458,2007-10-01 22:00:00,236.1
23,522558,214458,2007-10-01 23:00:00,195.7
24,522558,214458,2007-10-02 00:00:00,310.7
25,522558,214458,2007-10-02 01:00:00,333.3
26,522558,214458,2007-10-02 02:00:00,148.3
27,522558,214458,2007-10-02 03:00:00,114.7
28,522558,214458,2007-10-02 04:00:00,258.6
29,522558,214458,2007-10-02 05:00:00,272.3
43,522558,214458,2007-10-02 19:00:00,315.0
44,522558,214458,2007-10-02 20:00:00,316.2
45,522558,214458,2007-10-02 21:00:00,131.6
46,522558,214458,2007-10-02 22:00:00,316.9
47,522558,214458,2007-10-02 23:00:00,235.7
48,522558,214458,2007-10-03 00:00:00,180.8
49,522558,214458,2007-10-03 01:00:00,123.0
50,522558,214458,2007-10-03 02:00:00,130.1
51,522558,214458,2007-10-03 03:00:00,234.5
52,522558,214458,2007-10-03 04:00:00,176.0
53,522558,214458,2007-10-03 05:00:00,305.9
54,522558,214458,2007-10-03 06:00:00,207.2
67,522558,214458,2007-10-03 19:00:00,187.1
68,522558,214458,2007-10-03 20:00:00,215.5
69,522558,214458,2007-10-03 21:00:00,152.4
70,522558,214458,2007-10-03 22:00:00,283.5
71,522558,214458,2007-10-03 23:00:00,294.2
72,522558,214458,2007-10-04 00:00:00,179.8
73,522558,214458,2007-10-04 01:00:00,247.1
74,522558,214458,2007-10-04 02:00:00,264.3
75,522558,214458,2007-10-04 03:00:00,314.4
76,522558,214458,2007-10-04 04:00:00,166.5
77,522558,214458,2007-10-04 05:00:00,301.5
78,522558,214458,2007-10-04 06:00:00,190.8
