,timestamp,value
0,2007-10-01 00:00:00,0.25
1,2007-10-01 01:00:00,0.94
2,2007-10-01 02:00:00,0.03
3,2007-10-01 03:00:00,0.67
4,2007-10-01 04:00:00,0.74
5,2007-10-01 05:00:00,0.35
6,2007-10-01 06:00:00,0.17
7,2007-10-01 19:00:00,0.27
8,2007-10-01 20:00:00,0.76
9,2007-10-01 21:00:00,0.78
10,2007-10-01 22:00:00,0.18
11,2007-10-01 23:00:00,0.94
12,2007-10-02 00:00:00,0.39
13,2007-10-02 01:00:00,0.82
14,2007-10-02 02:00:00,0.97
15,2007-10-02 03:00:00,0.85
16,2007-10-02 04:00:00,0.07
17,2007-10-02 05:00:00,0.49
18,2007-10-02 19:00:00,0.87
19,2007-10-02 20:00:00,0.77
20,2007-10-02 21:00:00,0.41
21,2007-10-02 22:00:00,0.84
22,2007-10-02 23:00:00,0.74
23,2007-10-03 00:00:00,0.07
24,2007-10-03 01:00:00,0.25
25,2007-10-03 02:00:00,0.74
26,2007-10-03 03:00:00,0.14
27,2007-10-03 04:00:00,0.38
28,2007-10-03 05:00:00,0.44
29,2007-10-03 06:00:00,0.66
30,2007-10-03 19:00:00,0.21
31,2007-10-03 20:00:00,0.29
32,2007-10-03 21:00:00,0.08
33,2007-10-03 22:00:00,0.08
34,2007-10-03 23:00:00,0.82
35,2007-10-04 00:00:00,0.42
36,2007-10-04 01:00:00,0.3
37,2007-10-04 02:00:00,0.02
38,2007-10-04 03:00:00,0.88
39,2007-10-04 04:00:00,0.08
40,2007-10-04 05:00:00,0.06
41,2007-10-04 06:00:00,0.83
42,2007-10-04 19:00:00,0.41
43,2007-10-04 20:00:00,0.84
44,2007-10-04 21:00:00,1.0
45,2007-10-04 22:00:00,0.23
46,2007-10-04 23:00:00,0.14
47,2007-10-05 00:00:00,0.42
48,2007-10-05 01:00:00,0.37
49,2007-10-05 02:00:00,0.81
50,2007-10-05 03:00:00,0.95
51,2007-10-05 04:00:00,0.6
52,2007-10-05 05:00:00,0.75
53,2007-10-05 06:00:00,0.96
54,2007-10-05 19:00:00,0.64
55,2007-10-05 20:00:00,0.16
56,2007-10-05 21:00:00,0.56
57,2007-10-05 22:00:00,0.09
58,2007-10-05 23:00:00,0.33
59,2007-10-06 00:00:00,0.1
60,2007-10-06 01:00:00,0.22
61,2007-10-06 02:00:00,0.69
62,2007-10-06 03:00:00,0.36
63,2007-10-06 04:00:00,0.91
64,2007-10-06 05:00:00,0.6
65,2007-10-06 06:00:00,0.13
66,2007-10-06 19:00:00,0.95
67,2007-10-06 20:00:00,0.7
68,2007-10-06 21:00:00,0.39
69,2007-10-06 22:00:00,0.44
70,2007-10-06 23:00:00,0.92
71,2007-10-07 00:00:00,0.49
72,2007-10-07 01:00:00,0.16
73,2007-10-07 02:00:00,0.05
74,2007-10-07 03:00:00,0.04
75,2007-10-07 04:00:00,0.82
76,2007-10-07 05:00:00,0.34
77,2007-10-07 06:00:00,0.38
78,2007-10-07 19:00:00,0.17
79,2007-10-07 20:00:00,0.83
80,2007-10-07 21:00:00,0.51
81,2007-10-07 22:00:00,0.25
82,2007-10-07 23:00:00,0.51
83,2007-10-08 00:00:00,0.61
84,2007-10-08 01:00:00,0.75
85,2007-10-08 02:00:00,0.28
86,2007-10-08 03:00:00,0.17
87,2007-10-08 04:00:00,0.96
88,2007-10-08 05:00:00,0.03
89,2007-10-08 06:00:00,0.14
90,2007-10-08 19:00:00,0.28
91,2007-10-08 20:00:00,0.1
92,2007-10-08 21:00:00,0.56
93,2007-10-08 22:00:00,0.88
94,2007-10-08 23:00:00,0.55
95,2007-10-09 00:00:00,0.01
96,2007-10-09 01:00:00,0.44
97,2007-10-09 02:00:00,0.19
98,2007-10-09 03:00:00,0.8
99,2007-10-09 04:00:00,0.15
100,2007-10-09 05:00:00,0.05
101,2007-10-09 06:00:00,0.6
102,2007-10-09 19:00:00,0.52
103,2007-10-09 20:00:00,0.5
104,2007-10-09 21:00:00,0.7
105,2007-10-09 22:00:00,0.94
106,2007-10-09 23:00:00,0.22
107,2007-10-10 00:00:00,0.11
108,2007-10-10 01:00:00,0.19
109,2007-10-10 02:00:00,0.25
110,2007-10-10 03:00:00,0.99
111,2007-10-10 04:00:00,0.37
112,2007-10-10 05:00:00,0.92
113,2007-10-10 06:00:00,0.66
114,2007-10-10 19:00:00,0.76
115,2007-10-10 20:00:00,0.88
116,2007-10-10 21:00:00,0.98
117,2007-10-10 22:00:00,0.02
118,2007-10-10 23:00:00,0.79
119,2007-10-11 00:00:00,0.8
120,2007-10-11 01:00:00,0.45
121,2007-10-11 02:00:00,0.2
122,2007-10-11 03:00:00,0.6
123,2007-10-11 04:00:00,0.96
124,2007-10-11 05:00:00,0.75
125,2007-10-11 06:00:00,0.7
126,2007-10-11 19:00:00,0.81
127,2007-10-11 20:00:00,0.64
128,2007-10-11 21:00:00,0.32
129,2007-10-11 22:00:00,0.42
130,2007-10-11 23:00:00,0.06
131,2007-10-12 00:00:00,0.86
132,2007-10-12 01:00:00,0.27
133,2007-10-12 02:00:00,0.86
134,2007-10-12 03:00:00,0.11
